file	line	after	mutated
CreditKeys.sol	26	SURVIVED	uint128 internal constant ID_BITS = 32;
CreditKeys.sol	37	SURVIVED	for (uint128 i; i < n; ++i) {
CreditKeys.sol	37	SURVIVED	for (uint256 i; i != n; ++i) {
CreditKeys.sol	37	SURVIVED	for (uint256 i; i < n; i++) {
CreditKeys.sol	39	SURVIVED	for (uint128 j; j < n; ++j) if (deposited[j] == order[i]) { pos = j; break; }
CreditKeys.sol	39	SURVIVED	for (uint256 j; j != n; ++j) if (deposited[j] == order[i]) { pos = j; break; }
CreditKeys.sol	39	SURVIVED	for (uint256 j; j < n; j++) if (deposited[j] == order[i]) { pos = j; break; }
CreditKeys.sol	40	SURVIVED	if (pos >= type(uint256).max) revert Bad("not deposited");
CreditKeys.sol	41	SURVIVED	uint256 w ;
CreditKeys.sol	42	SURVIVED	uint256 bit = 1 << (pos ^ 255);
CreditKeys.sol	43	SURVIVED	if (seen[w] & bit > 0) revert Bad("repeat");
CreditKeys.sol	44	SURVIVED	seen[w] += bit;
CreditKeys.sol	44	SURVIVED	seen[w] ^= bit;
CreditKeys.sol	46	SURVIVED	if (p >= Preset.Manual) return;
CreditKeys.sol	47	SURVIVED	if (p <= Preset.Deposit) {
CreditKeys.sol	48	SURVIVED	for (uint128 i; i < n; ++i) if (order[i] != deposited[i]) revert Bad("order");
CreditKeys.sol	48	SURVIVED	for (uint256 i; i != n; ++i) if (order[i] != deposited[i]) revert Bad("order");
CreditKeys.sol	48	SURVIVED	for (uint256 i; i < n; ++i) if (order[i] < deposited[i]) revert Bad("order");
CreditKeys.sol	48	SURVIVED	for (uint256 i; i < n; ++i) if (order[i] > deposited[i]) revert Bad("order");
CreditKeys.sol	51	SURVIVED	if (p >= Preset.Random) {
CreditKeys.sol	53	SURVIVED	for (uint128 i; i < n; ++i) if (order[i] != want[i]) revert Bad("order");
CreditKeys.sol	53	SURVIVED	for (uint256 i; i != n; ++i) if (order[i] != want[i]) revert Bad("order");
CreditKeys.sol	53	SURVIVED	for (uint256 i; i < n; ++i) if (order[i] < want[i]) revert Bad("order");
CreditKeys.sol	53	SURVIVED	for (uint256 i; i < n; ++i) if (order[i] > want[i]) revert Bad("order");
CreditKeys.sol	58	SURVIVED	for (uint128 i = 1; i < n; ++i) {
CreditKeys.sol	58	SURVIVED	for (uint256 i = 1; i != n; ++i) {
CreditKeys.sol	60	SURVIVED	if (k < prev) revert Bad("order");
CreditKeys.sol	66	KILLED	//require(id < 2 ** ID_BITS, "id");
CreditKeys.sol	67	KILLED	if (p <= Preset.Number) return id;
CreditKeys.sol	67	KILLED	if (p >= Preset.Number) return id;
CreditKeys.sol	67	KILLED	if (true) return id;
CreditKeys.sol	68	KILLED	uint64 paidAt ;
CreditKeys.sol	69	KILLED	if (p <= Preset.Time) return (uint256(paidAt) << ID_BITS) | id;
CreditKeys.sol	69	SURVIVED	if (p == Preset.Time) return (uint128(paidAt) << ID_BITS) | id;
CreditKeys.sol	69	KILLED	if (p == Preset.Time) return (uint256(paidAt) << ID_BITS) << id;
CreditKeys.sol	69	SURVIVED	if (p == Preset.Time) return (uint256(paidAt) << ID_BITS) ^ id;
CreditKeys.sol	69	KILLED	if (p == Preset.Time) return (uint256(paidAt) >> ID_BITS) | id;
CreditKeys.sol	69	KILLED	if (p >= Preset.Time) return (uint256(paidAt) << ID_BITS) | id;
CreditKeys.sol	69	KILLED	if (true) return (uint256(paidAt) << ID_BITS) | id;
CreditKeys.sol	70	SURVIVED	uint128 mask = uint128(paidAt) % 15 + 1; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask ; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask = uint256(paidAt) % 15 % 1; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask = uint256(paidAt) % 15 * 1; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask = uint256(paidAt) % 15 / 1; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask = uint256(paidAt) * 15 + 1; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask = uint256(paidAt) + 15 + 1; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask = uint256(paidAt) - 15 + 1; // CreditDrawing.platesAt
CreditKeys.sol	70	KILLED	uint256 mask = uint256(paidAt) / 15 + 1; // CreditDrawing.platesAt
CreditKeys.sol	71	KILLED	if (p <= Preset.Colors) return (colorRank(mask) << ID_BITS) | id;
CreditKeys.sol	71	KILLED	if (p == Preset.Colors) return (colorRank(mask) & ID_BITS) | id;
CreditKeys.sol	71	SURVIVED	if (p == Preset.Colors) return (colorRank(mask) << ID_BITS) ^ id;
CreditKeys.sol	71	KILLED	if (p == Preset.Colors) return (colorRank(mask) >> ID_BITS) | id;
CreditKeys.sol	71	KILLED	if (p >= Preset.Colors) return (colorRank(mask) << ID_BITS) | id;
CreditKeys.sol	71	KILLED	if (true) return (colorRank(mask) << ID_BITS) | id;
CreditKeys.sol	73	KILLED	if (p <= Preset.Ink) return (r.marks << ID_BITS) | id;
CreditKeys.sol	73	KILLED	if (p == Preset.Ink) return (r.marks << ID_BITS) << id;
CreditKeys.sol	73	SURVIVED	if (p == Preset.Ink) return (r.marks << ID_BITS) ^ id;
CreditKeys.sol	73	KILLED	if (p == Preset.Ink) return (r.marks >> ID_BITS) | id;
CreditKeys.sol	73	KILLED	if (p >= Preset.Ink) return (r.marks << ID_BITS) | id;
CreditKeys.sol	73	KILLED	if (true) return (r.marks << ID_BITS) | id;
